ID,Titulo,tiempos_inicio (segs.),tiempos_fin (segs.)
379.CA.AGN.L2.02,"Conferencia del Coronel Raúl Gómez Fuentealba: ""Perito Moreno como descubridor de la belleza patagónica"".",169.35,169.801699
85.CA.AGN.L1.01,Mensaje de Juan Perón con respecto a los hechos ocurridos el 11 de junio.,470.97,471.509502
,,557.16,557.67
,,1029.800322,1030.31
,,1428.27,1429.08
,,1438.59,1439.04
47.CA.AGN.L1.01,Almuerzo de Camaradería de las Fuerzas Armadas de la Nación.,42.09,42.63
,,133.92,134.4
,,385.56,386.22
,,1068.15,1068.86918
,,1278.4,1279.113196
222.CA.AGN.L2.04,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista a Víctor Alderete.",125.52,126.06
,,126.72,127.11
,,161.43,161.73
,,210.84,211.168257
,,251.43,251.82
,,254.97,255.3
,,286.86,287.19
,,316.614199,316.8704
,,329.52,329.79
,,345.0,345.33
,,408.50918,408.75
,,885.04,885.76
,,941.47,941.98
,,1002.28,1002.79
300.CA.AGN.L2.01,Mensaje del Presidente Juan Carlos Onganía para transmitir su plan de Gobierno.,803.92,804.58
338.CA.AGN.L2.01,Palabras de Dr. Manuel A. Fresco para referirse a sus comienzos políticos y a hechos Revolucionarios del año 1930. Parte 2.,17.07,17.49
,,169.32,169.894072
,,246.66,247.35
,,322.018945,322.589971
,,412.262285,412.65
,,789.982051,790.44853
58.D30.AGN.LB.01,Día del empleado publico: Discurso del general Perón. Parte 3.,115.98,116.97
970.D40.AGN.LA.01,Conferencia pronunciada por el profesor Dr. Fritz Hoffman en el Archivo General de la Nación. Parte 4.,54.69,55.11
,,149.94,150.33
116.CA.AGN.L1.01,"Discurso de Juan Perón, con motivo de la reunión con dirigentes sindicales de todo el país, en el Salón Blanco de la Casa de Gobierno. Parte 4.",315.81,316.260674
,,563.4,563.73
,,903.8,904.25
,,935.3,935.84
,,1149.77,1150.25
,,1489.62,1490.1
,,1513.59,1514.01
,,1581.690674,1582.133086
,,1608.57,1608.92499
,,1612.23,1612.59
,,1624.83,1625.28
,,1664.19,1664.67
,,1679.339941,1679.91
,,1727.46,1728.18
,,1794.09,1794.69
312.CA.AGN.L2.02,"Disertación de Albert Sabin: ""Virus y Cáncer"". Presentación de Bernardo Housay. Parte 1.",288.726035,289.32
,,628.63,629.05
380.CA.AGN.L2.06,Acto de inauguración del 2° Ciclo de la Exposición de la Industria de la Provincia de Córdoba.,739.11,739.89
320.CA.AGN.L2.02,Reportaje realizado por el periodista León Benarós a Lilia Roberti de Aliaga Pueyrredón en el homenaje al escultor al escultor Don Ángel María de Rosa.,95.82,96.33
,,115.77,116.37
